azure_region,service_type,demand_units,capacity_allocated,service_availability,is_holiday,gdp_growth_rate,inflation_rate,it_sector_growth_index,year,month,quarter,day_of_week,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_7,day,forecast
US,Storage,219,251,99.63,0,5.62,6.8,111.96,2023,1,1,3,298.0,190.0,216.0,235.0,285.0,124.0,119.0,223.85714285714286,12,212.27371
Europe,Compute,250,304,99.7,0,5.62,6.8,111.96,2023,1,1,3,219.0,298.0,190.0,216.0,235.0,285.0,124.0,241.85714285714286,12,261.66165
Europe,Storage,267,309,99.94,0,5.62,6.8,111.96,2023,1,1,3,250.0,219.0,298.0,190.0,216.0,235.0,285.0,239.28571428571428,12,270.94363
India,Compute,147,198,99.56,0,5.62,6.8,111.96,2023,1,1,4,267.0,250.0,219.0,298.0,190.0,216.0,235.0,226.71428571428572,13,157.3433
India,Storage,256,284,99.71,0,5.62,6.8,111.96,2023,1,1,4,147.0,267.0,250.0,219.0,298.0,190.0,216.0,232.42857142857142,13,247.60367
US,Compute,298,337,99.74,0,5.62,6.8,111.96,2023,1,1,4,256.0,147.0,267.0,250.0,219.0,298.0,190.0,247.85714285714286,13,289.33945
US,Storage,267,317,99.56,0,5.62,6.8,111.96,2023,1,1,4,298.0,256.0,147.0,267.0,250.0,219.0,298.0,243.42857142857142,13,277.72092
Europe,Compute,288,322,99.64,0,5.62,6.8,111.96,2023,1,1,4,267.0,298.0,256.0,147.0,267.0,250.0,219.0,253.28571428571428,13,284.53992
Europe,Storage,141,185,99.56,0,5.62,6.8,111.96,2023,1,1,4,288.0,267.0,298.0,256.0,147.0,267.0,250.0,237.71428571428572,13,148.47539
India,Compute,245,294,99.64,0,5.62,6.8,111.96,2023,1,1,5,141.0,288.0,267.0,298.0,256.0,147.0,267.0,234.57142857142858,14,253.40125
India,Storage,284,331,99.62,0,5.62,6.8,111.96,2023,1,1,5,245.0,141.0,288.0,267.0,298.0,256.0,147.0,254.14285714285714,14,287.2363
US,Compute,110,164,99.84,0,5.62,6.8,111.96,2023,1,1,5,284.0,245.0,141.0,288.0,267.0,298.0,256.0,233.28571428571428,14,118.07149
US,Storage,176,223,99.91,0,5.62,6.8,111.96,2023,1,1,5,110.0,284.0,245.0,141.0,288.0,267.0,298.0,215.85714285714286,14,179.68321
Europe,Compute,150,185,99.7,0,5.62,6.8,111.96,2023,1,1,5,176.0,110.0,284.0,245.0,141.0,288.0,267.0,199.14285714285714,14,146.14516
Europe,Storage,286,345,99.51,0,5.62,6.8,111.96,2023,1,1,5,150.0,176.0,110.0,284.0,245.0,141.0,288.0,198.85714285714286,14,290.38562
India,Compute,205,232,99.87,1,5.62,6.8,111.96,2023,1,1,6,286.0,150.0,176.0,110.0,284.0,245.0,141.0,208.0,15,193.18729
India,Storage,203,254,99.67,1,5.62,6.8,111.96,2023,1,1,6,205.0,286.0,150.0,176.0,110.0,284.0,245.0,202.0,15,211.57318
US,Compute,286,344,99.71,1,5.62,6.8,111.96,2023,1,1,6,203.0,205.0,286.0,150.0,176.0,110.0,284.0,202.28571428571428,15,292.71234
US,Storage,105,133,99.56,1,5.62,6.8,111.96,2023,1,1,6,286.0,203.0,205.0,286.0,150.0,176.0,110.0,201.57142857142858,15,108.8434
Europe,Compute,249,284,99.61,1,5.62,6.8,111.96,2023,1,1,6,105.0,286.0,203.0,205.0,286.0,150.0,176.0,212.0,15,245.51471
Europe,Storage,271,307,99.76,1,5.62,6.8,111.96,2023,1,1,6,249.0,105.0,286.0,203.0,205.0,286.0,150.0,229.28571428571428,15,267.52118
India,Compute,101,139,99.57,0,5.62,6.8,111.96,2023,1,1,0,271.0,249.0,105.0,286.0,203.0,205.0,286.0,202.85714285714286,16,108.29264
India,Storage,289,313,99.82,0,5.62,6.8,111.96,2023,1,1,0,101.0,271.0,249.0,105.0,286.0,203.0,205.0,214.85714285714286,16,276.76862
US,Compute,179,234,99.78,0,5.62,6.8,111.96,2023,1,1,0,289.0,101.0,271.0,249.0,105.0,286.0,203.0,211.42857142857142,16,189.9854
US,Storage,206,233,99.61,0,5.62,6.8,111.96,2023,1,1,0,179.0,289.0,101.0,271.0,249.0,105.0,286.0,200.0,16,197.70392
Europe,Compute,268,321,99.79,0,5.62,6.8,111.96,2023,1,1,0,206.0,179.0,289.0,101.0,271.0,249.0,105.0,223.28571428571428,16,279.84393
Europe,Storage,128,162,99.65,0,5.62,6.8,111.96,2023,1,1,0,268.0,206.0,179.0,289.0,101.0,271.0,249.0,206.0,16,123.652275
India,Compute,187,228,99.66,0,5.62,6.8,111.96,2023,1,1,1,128.0,268.0,206.0,179.0,289.0,101.0,271.0,194.0,17,187.27504
India,Storage,227,281,99.63,0,5.62,6.8,111.96,2023,1,1,1,187.0,128.0,268.0,206.0,179.0,289.0,101.0,212.0,17,243.48666
US,Compute,118,146,99.79,0,5.62,6.8,111.96,2023,1,1,1,227.0,187.0,128.0,268.0,206.0,179.0,289.0,187.57142857142858,17,114.09886
US,Storage,170,228,99.82,0,5.62,6.8,111.96,2023,1,1,1,118.0,227.0,187.0,128.0,268.0,206.0,179.0,186.28571428571428,17,185.89864
Europe,Compute,117,172,99.76,0,5.62,6.8,111.96,2023,1,1,1,170.0,118.0,227.0,187.0,128.0,268.0,206.0,173.57142857142858,17,131.29973
Europe,Storage,289,317,99.94,0,5.62,6.8,111.96,2023,1,1,1,117.0,170.0,118.0,227.0,187.0,128.0,268.0,176.57142857142858,17,278.81546
India,Compute,244,275,99.93,0,5.62,6.8,111.96,2023,1,1,2,289.0,117.0,170.0,118.0,227.0,187.0,128.0,193.14285714285714,18,234.68039
India,Storage,215,272,99.92,0,5.62,6.8,111.96,2023,1,1,2,244.0,289.0,117.0,170.0,118.0,227.0,187.0,197.14285714285714,18,227.96338
US,Compute,263,292,99.83,0,5.62,6.8,111.96,2023,1,1,2,215.0,244.0,289.0,117.0,170.0,118.0,227.0,202.28571428571428,18,253.13338
US,Storage,115,151,99.59,0,5.62,6.8,111.96,2023,1,1,2,263.0,215.0,244.0,289.0,117.0,170.0,118.0,201.85714285714286,18,116.528786
Europe,Compute,193,252,99.67,0,5.62,6.8,111.96,2023,1,1,2,115.0,263.0,215.0,244.0,289.0,117.0,170.0,205.14285714285714,18,210.94147
Europe,Storage,145,200,99.56,0,5.62,6.8,111.96,2023,1,1,2,193.0,115.0,263.0,215.0,244.0,289.0,117.0,209.14285714285714,18,157.15837
India,Compute,185,239,99.84,0,5.62,6.8,111.96,2023,1,1,3,145.0,193.0,115.0,263.0,215.0,244.0,289.0,194.28571428571428,19,199.89832
India,Storage,262,283,99.96,0,5.62,6.8,111.96,2023,1,1,3,185.0,145.0,193.0,115.0,263.0,215.0,244.0,196.85714285714286,19,246.80563
US,Compute,256,286,99.6,0,5.62,6.8,111.96,2023,1,1,3,262.0,185.0,145.0,193.0,115.0,263.0,215.0,202.71428571428572,19,247.07408
US,Storage,136,157,99.59,0,5.62,6.8,111.96,2023,1,1,3,256.0,262.0,185.0,145.0,193.0,115.0,263.0,184.57142857142858,19,117.76154
Europe,Compute,150,190,99.96,0,5.62,6.8,111.96,2023,1,1,3,136.0,256.0,262.0,185.0,145.0,193.0,115.0,189.57142857142858,19,149.47758
Europe,Storage,235,265,99.75,0,5.62,6.8,111.96,2023,1,1,3,150.0,136.0,256.0,262.0,185.0,145.0,193.0,195.57142857142858,19,227.7822
India,Compute,105,148,99.8,0,5.62,6.8,111.96,2023,1,1,4,235.0,150.0,136.0,256.0,262.0,185.0,145.0,189.85714285714286,20,115.73418
India,Storage,120,147,99.64,0,5.62,6.8,111.96,2023,1,1,4,105.0,235.0,150.0,136.0,256.0,262.0,185.0,180.57142857142858,20,115.502
US,Compute,113,133,99.94,0,5.62,6.8,111.96,2023,1,1,4,120.0,105.0,235.0,150.0,136.0,256.0,262.0,159.28571428571428,20,107.39217
US,Storage,291,314,99.99,0,5.62,6.8,111.96,2023,1,1,4,113.0,120.0,105.0,235.0,150.0,136.0,256.0,164.28571428571428,20,276.82785
Europe,Compute,161,199,99.66,0,5.62,6.8,111.96,2023,1,1,4,291.0,113.0,120.0,105.0,235.0,150.0,136.0,167.85714285714286,20,158.15512
Europe,Storage,274,306,99.75,0,5.62,6.8,111.96,2023,1,1,4,161.0,291.0,113.0,120.0,105.0,235.0,150.0,185.57142857142858,20,265.00705
India,Compute,143,168,99.83,0,5.62,6.8,111.96,2023,1,1,5,274.0,161.0,291.0,113.0,120.0,105.0,235.0,172.42857142857142,21,128.45978
India,Storage,201,255,99.98,0,5.62,6.8,111.96,2023,1,1,5,143.0,274.0,161.0,291.0,113.0,120.0,105.0,186.14285714285714,21,212.10973
US,Compute,280,315,99.54,0,5.62,6.8,111.96,2023,1,1,5,201.0,143.0,274.0,161.0,291.0,113.0,120.0,209.0,21,276.79074
US,Storage,281,336,99.85,0,5.62,6.8,111.96,2023,1,1,5,280.0,201.0,143.0,274.0,161.0,291.0,113.0,233.0,21,285.77194
Europe,Compute,138,168,99.87,0,5.62,6.8,111.96,2023,1,1,5,281.0,280.0,201.0,143.0,274.0,161.0,291.0,211.14285714285714,21,125.46309
Europe,Storage,204,254,99.66,0,5.62,6.8,111.96,2023,1,1,5,138.0,281.0,280.0,201.0,143.0,274.0,161.0,217.28571428571428,21,216.4909
India,Compute,165,191,99.68,1,5.62,6.8,111.96,2023,1,1,6,204.0,138.0,281.0,280.0,201.0,143.0,274.0,201.71428571428572,22,153.68718
India,Storage,123,149,99.74,1,5.62,6.8,111.96,2023,1,1,6,165.0,204.0,138.0,281.0,280.0,201.0,143.0,198.85714285714286,22,117.09526
US,Compute,117,154,99.54,1,5.62,6.8,111.96,2023,1,1,6,123.0,165.0,204.0,138.0,281.0,280.0,201.0,186.85714285714286,22,116.66665
US,Storage,143,181,99.59,1,5.62,6.8,111.96,2023,1,1,6,117.0,123.0,165.0,204.0,138.0,281.0,280.0,167.28571428571428,22,138.96678
Europe,Compute,174,205,99.85,1,5.62,6.8,111.96,2023,1,1,6,143.0,117.0,123.0,165.0,204.0,138.0,281.0,152.0,22,166.55406
Europe,Storage,260,304,99.64,1,5.62,6.8,111.96,2023,1,1,6,174.0,143.0,117.0,123.0,165.0,204.0,138.0,169.42857142857142,22,262.48865
India,Compute,146,187,99.67,0,5.62,6.8,111.96,2023,1,1,0,260.0,174.0,143.0,117.0,123.0,165.0,204.0,161.14285714285714,23,146.26282
India,Storage,102,135,99.99,0,5.62,6.8,111.96,2023,1,1,0,146.0,260.0,174.0,143.0,117.0,123.0,165.0,152.14285714285714,23,109.171165
US,Compute,211,263,99.77,0,5.62,6.8,111.96,2023,1,1,0,102.0,146.0,260.0,174.0,143.0,117.0,123.0,164.71428571428572,23,217.28943
US,Storage,125,169,99.91,0,5.62,6.8,111.96,2023,1,1,0,211.0,102.0,146.0,260.0,174.0,143.0,117.0,165.85714285714286,23,128.73343
Europe,Compute,145,174,99.72,0,5.62,6.8,111.96,2023,1,1,0,125.0,211.0,102.0,146.0,260.0,174.0,143.0,166.14285714285714,23,141.68585
Europe,Storage,120,152,99.72,0,5.62,6.8,111.96,2023,1,1,0,145.0,125.0,211.0,102.0,146.0,260.0,174.0,158.42857142857142,23,117.383385
India,Compute,235,283,99.59,0,5.62,6.8,111.96,2023,1,1,1,120.0,145.0,125.0,211.0,102.0,146.0,260.0,154.85714285714286,24,242.89641
India,Storage,293,318,99.74,0,5.62,6.8,111.96,2023,1,1,1,235.0,120.0,145.0,125.0,211.0,102.0,146.0,175.85714285714286,24,280.83246
US,Compute,188,236,99.83,0,5.62,6.8,111.96,2023,1,1,1,293.0,235.0,120.0,145.0,125.0,211.0,102.0,188.14285714285714,24,190.83296
US,Storage,169,197,99.87,0,5.62,6.8,111.96,2023,1,1,1,188.0,293.0,235.0,120.0,145.0,125.0,211.0,182.14285714285714,24,158.15163
Europe,Compute,158,187,99.75,0,5.62,6.8,111.96,2023,1,1,1,169.0,188.0,293.0,235.0,120.0,145.0,125.0,186.85714285714286,24,147.21616
Europe,Storage,114,160,99.74,0,5.62,6.8,111.96,2023,1,1,1,158.0,169.0,188.0,293.0,235.0,120.0,145.0,182.42857142857142,24,118.95012
India,Compute,142,196,99.71,0,5.62,6.8,111.96,2023,1,1,2,114.0,158.0,169.0,188.0,293.0,235.0,120.0,185.57142857142858,25,151.96262
India,Storage,113,142,99.74,0,5.62,6.8,111.96,2023,1,1,2,142.0,114.0,158.0,169.0,188.0,293.0,235.0,168.14285714285714,25,110.9556
US,Compute,254,308,99.79,0,5.62,6.8,111.96,2023,1,1,2,113.0,142.0,114.0,158.0,169.0,188.0,293.0,162.57142857142858,25,262.20633
US,Storage,103,156,99.75,0,5.62,6.8,111.96,2023,1,1,2,254.0,113.0,142.0,114.0,158.0,169.0,188.0,150.42857142857142,25,116.30369
Europe,Compute,198,230,99.54,0,5.62,6.8,111.96,2023,1,1,2,103.0,254.0,113.0,142.0,114.0,158.0,169.0,154.57142857142858,25,190.97758
Europe,Storage,107,131,99.93,0,5.62,6.8,111.96,2023,1,1,2,198.0,103.0,254.0,113.0,142.0,114.0,158.0,147.28571428571428,25,107.18642
India,Compute,166,192,99.61,0,5.62,6.8,111.96,2023,1,1,3,107.0,198.0,103.0,254.0,113.0,142.0,114.0,154.71428571428572,26,157.09048
India,Storage,251,282,99.97,0,5.62,6.8,111.96,2023,1,1,3,166.0,107.0,198.0,103.0,254.0,113.0,142.0,170.28571428571428,26,243.54086
US,Compute,201,247,99.5,0,5.62,6.8,111.96,2023,1,1,3,251.0,166.0,107.0,198.0,103.0,254.0,113.0,182.85714285714286,26,206.8158
US,Storage,236,280,99.85,0,5.62,6.8,111.96,2023,1,1,3,201.0,251.0,166.0,107.0,198.0,103.0,254.0,180.28571428571428,26,238.81058
Europe,Compute,290,325,99.75,0,5.62,6.8,111.96,2023,1,1,3,236.0,201.0,251.0,166.0,107.0,198.0,103.0,207.0,26,284.1216
Europe,Storage,187,241,99.96,0,5.62,6.8,111.96,2023,1,1,3,290.0,236.0,201.0,251.0,166.0,107.0,198.0,205.42857142857142,26,197.51555
India,Compute,240,285,99.69,0,5.62,6.8,111.96,2023,1,1,4,187.0,290.0,236.0,201.0,251.0,166.0,107.0,224.42857142857142,27,244.8409
India,Storage,211,244,99.88,0,5.62,6.8,111.96,2023,1,1,4,240.0,187.0,290.0,236.0,201.0,251.0,166.0,230.85714285714286,27,205.18782
US,Compute,291,334,99.86,0,5.62,6.8,111.96,2023,1,1,4,211.0,240.0,187.0,290.0,236.0,201.0,251.0,236.57142857142858,27,287.9987
US,Storage,123,168,99.69,0,5.62,6.8,111.96,2023,1,1,4,291.0,211.0,240.0,187.0,290.0,236.0,201.0,225.42857142857142,27,124.86588
Europe,Compute,157,204,99.74,0,5.62,6.8,111.96,2023,1,1,4,123.0,291.0,211.0,240.0,187.0,290.0,236.0,214.14285714285714,27,161.56055
Europe,Storage,226,249,99.82,0,5.62,6.8,111.96,2023,1,1,4,157.0,123.0,291.0,211.0,240.0,187.0,290.0,205.0,27,212.5128
India,Compute,231,254,99.68,0,5.62,6.8,111.96,2023,1,1,5,226.0,157.0,123.0,291.0,211.0,240.0,187.0,211.28571428571428,28,216.47287
India,Storage,293,347,99.65,0,5.62,6.8,111.96,2023,1,1,5,231.0,226.0,157.0,123.0,291.0,211.0,240.0,218.85714285714286,28,293.14352
US,Compute,194,215,99.96,0,5.62,6.8,111.96,2023,1,1,5,293.0,231.0,226.0,157.0,123.0,291.0,211.0,216.42857142857142,28,173.61353
US,Storage,235,264,99.73,0,5.62,6.8,111.96,2023,1,1,5,194.0,293.0,231.0,226.0,157.0,123.0,291.0,208.42857142857142,28,224.81424
Europe,Compute,173,197,99.74,0,5.62,6.8,111.96,2023,1,1,5,235.0,194.0,293.0,231.0,226.0,157.0,123.0,215.57142857142858,28,159.65892
Europe,Storage,271,329,99.88,0,5.62,6.8,111.96,2023,1,1,5,173.0,235.0,194.0,293.0,231.0,226.0,157.0,231.85714285714286,28,284.5609
India,Compute,219,276,99.94,1,5.62,6.8,111.96,2023,1,1,6,271.0,173.0,235.0,194.0,293.0,231.0,226.0,230.85714285714286,29,234.94095
India,Storage,208,243,99.79,1,5.62,6.8,111.96,2023,1,1,6,219.0,271.0,173.0,235.0,194.0,293.0,231.0,227.57142857142858,29,202.91286
US,Compute,129,173,99.77,1,5.62,6.8,111.96,2023,1,1,6,208.0,219.0,271.0,173.0,235.0,194.0,293.0,204.14285714285714,29,134.6225
US,Storage,177,200,99.63,1,5.62,6.8,111.96,2023,1,1,6,129.0,208.0,219.0,271.0,173.0,235.0,194.0,201.71428571428572,29,160.56223
Europe,Compute,143,169,99.79,1,5.62,6.8,111.96,2023,1,1,6,177.0,129.0,208.0,219.0,271.0,173.0,235.0,188.57142857142858,29,131.48442
Europe,Storage,234,288,99.74,1,5.62,6.8,111.96,2023,1,1,6,143.0,177.0,129.0,208.0,219.0,271.0,173.0,197.28571428571428,29,246.1199
India,Compute,175,203,99.58,0,5.62,6.8,111.96,2023,1,1,0,234.0,143.0,177.0,129.0,208.0,219.0,271.0,183.57142857142858,30,162.60287
India,Storage,160,209,99.9,0,5.62,6.8,111.96,2023,1,1,0,175.0,234.0,143.0,177.0,129.0,208.0,219.0,175.14285714285714,30,166.27127
US,Compute,212,248,99.68,0,5.62,6.8,111.96,2023,1,1,0,160.0,175.0,234.0,143.0,177.0,129.0,208.0,175.71428571428572,30,209.00558
US,Storage,117,142,99.68,0,5.62,6.8,111.96,2023,1,1,0,212.0,160.0,175.0,234.0,143.0,177.0,129.0,174.0,30,112.25254
